docname,Newspaper,Date,Beginning of Passage,keyword,End of Passage,Code,Comments
12_3274,China Daily,2014-04-16T00:00:00Z,& CLAIMS ( 78 % ) ; STATISTICS ( 77 % ) ; ENVIRONMENT & NATURAL RESOURCES ( 73 % ) ; WOMEN'S HEALTH ( 72 % ) ; SURGERY & TRANSPLANTATION ( 66 % ) ; EMOTIONS ( 64 % ) ; MARRIAGE ( 64 % ) ; HUMAN,REPRODUCTIVE,STERILIZATION ( 63 % ) ; CONTRACEPTION ( 60 % ) ; MENSTRUATION ( 60 % ),NA,NA
40_3328,Hong Kong Government News,2019-03-27T00:00:00Z,"control their number in the long run and abate the nuisance they created . In 2009 , the contractor introduced a new technique for permanent sterilisation of suitable female monkeys by endoscopic micro-tubectomy for more effective control on their number . In 2014 , the contractor also started performing endoscopic",micro-vasectomy,"on suitable male monkeys . The surgical procedure only takes four to seven minutes to complete , and the monkeys which undergone operations will be released on site together with other monkeys captured on the same day . Since 2018 , the AFCD has extended the sterilisation operations to the",NA,NA
69_3375,Shanghai Daily (Benchmark),2020-06-24T00:00:00Z,"The oldest , Cat , wants to give her boyfriend a baby . The trouble is he's had a",vasectomy,". Married Jessica can't conceive . Megan gets pregnant after a one-night stand and she's considering an abortion . Every possible dimension of conception is explored , including IVF procedures , miscarriage , post-natal depression and adoption . Somewhat irritating , though , is the implication that all females are",NA,NA
69_3381,Shanghai Daily (Benchmark),2020-06-24T00:00:00Z,Subject :,REPRODUCTIVE,TECHNOLOGY ( 90 % ) ; PREGNANCY & CHILDBIRTH ( 88 % ) ; MISCARRIAGES ( 87 % ) ; ABORTION ( 69 % ) ; MATERNAL MENTAL HEALTH ( 69 % ) ; DEPRESSION ( 53 % ),NA,NA
69_3383,Shanghai Daily (Benchmark),2020-06-24T00:00:00Z,Industry :,REPRODUCTIVE,TECHNOLOGY ( 90 % ),NA,NA
19_3404,Xinhua General News Service,2007-05-29T00:00:00Z,Brazilian President Luiz Inacio Lula da Silva announced on Monday the National Family Planning Policy in an effort to make the family planning information and,birth control,methods available to all the people .,NA,NA
19_3406,Xinhua General News Service,2007-05-29T00:00:00Z,The government also advocates,vasectomy,", describing it as a 15-minute medical procedure that does not require absence from work .",NA,NA
74_3446,Xinhua General News Service,2010-03-16T00:00:00Z,"There was no concept of family planning then and the result was a population explosion that put a severe burden on society , Lam says . By the time she left the association in 1988 , not only was",birth control,"widely practised , once-discomfiting notions like pre-marriage check-ups had become routine .",NA,NA
74_3447,Xinhua General News Service,2010-03-16T00:00:00Z,"Demographic forces have since swung to the other extreme , with Hong Kong now recording the world's lowest birth rate of 0.94 ( Singapore's is 1.3 ) . And as the post-80s and post-90s generations begin to start families now , the association has evolved from being a promoter of",birth control,"to become a promoter of sexual health , sex education - and provider of fertility services .",NA,NA
74_3448,Xinhua General News Service,2010-03-16T00:00:00Z,"The association really began in 1936 , when a visit by American",birth control,"activist Margaret Sanger , inspired local philanthropist Ellen Li Tso Sau-kwan and obstetrician and gynaecologist William Charles Wallace to set up the Hong Kong Eugenics League . ( While eugenics evokes images of controversial social engineering , successors did not know why the name was chosen and the leagues '",NA,NA
74_3457,Xinhua General News Service,2010-03-16T00:00:00Z,"Josephine Lau Yuen-wah was a frontline witness to the FPA's evolution . When she joined the association in 1984 as a field worker , her job was to cajole women to get out from under their husbands ' shadows to inform themselves about sexual health and",birth control,.,NA,NA
74_3462,Xinhua General News Service,2010-03-16T00:00:00Z,""" The women I came across over the years have transformed from subservient homemakers into intrepid torch-bearers who think nothing of talking about sex , female genitalia and",reproductive,"health , "" Lau says . "" They not only spread ideas around the community , they influence their families . Their children pick up their messages and their husbands come along to support them in their drama performances . """,NA,NA
74_3463,Xinhua General News Service,2010-03-16T00:00:00Z,"With population growth reined in , Lam initated fertility services such as a sperm bank and artificial insemination in the ' 80s to help people who had trouble conceiving . But these were scrapped four years ago as advances in",reproductive,technology reduced demand ( there were only 13 couples seeking artificial insemination at its clinic in 2007 ) .,NA,NA
74_3464,Xinhua General News Service,2010-03-16T00:00:00Z,"Moreover , better services became available after the Human",Reproductive,"Technology Ordinance took effect in 2007 , as many private clinics with hi-tech equipment were licensed to provide artificial insemination , gynaecologist Susan Fan Sun-yun , who became FPA executive director in 1995 , explains .",NA,NA
74_3466,Xinhua General News Service,2010-03-16T00:00:00Z,"After investigating , the association decided it was not cost-effective to upgrade its artificial insemination facilities . They have also stopped providing procedures such as tubal ligation as modern contraception is now convenient , effective and safe , she says . And while its clinic still conducts",vasectomies,", demand is falling .",NA,NA
74_3475,Xinhua General News Service,2010-03-16T00:00:00Z,""" Now that people are getting married later , there are long queues for private",reproductive,"companies . So we want to continue serving infertile couples , "" Fan says .",NA,NA
74_3492,Xinhua General News Service,2010-03-16T00:00:00Z,CHILDBIRTH ( 89 % ) ; SEX EDUCATION ( 89 % ) ; OBSTETRICS & GYNECOLOGY ( 88 % ) ; POPULATION CHARACTERISTICS ( 79 % ) ; FAMILY ( 78 % ) ; FERTILITY & INFERTILITY ( 78 % ) ; FULL TIME EMPLOYMENT ( 78 % ) ;,REPRODUCTIVE,HEALTH CLINICS ( 78 % ) ; SEXUAL & REPRODUCTIVE HEALTH ( 78 % ) ; PHYSICIANS & SURGEONS ( 77 % ) ; BIRTHS & BIRTH RATES ( 76 % ) ; DEMOGRAPHIC GROUPS ( 75 % ) ; CONTRACEPTION ( 72 % ) ; HOMELESSNESS ( 72 %,NA,NA
74_3494,Xinhua General News Service,2010-03-16T00:00:00Z,Industry : OBSTETRICS & GYNECOLOGY ( 88 % ) ;,REPRODUCTIVE,HEALTH CLINICS ( 78 % ) ; PHYSICIANS & SURGEONS ( 77 % ) ; NURSES & NURSING ( 63 % ),NA,NA
23_3566,Xinhua General News Service,2003-11-03T00:00:00Z,But the court heard last month he persuaded one woman to have unprotected sex by claiming he had undergone a,vasectomy,and pursued the second victim repeatedly telling her he loved her and wanted her to have his children .,NA,NA
35_3606,Global Times (China),2016-08-30T00:00:00Z,". "" He is softhearted , not aggressive and tough enough , "" commented Chen Ran who used to work with Zhang . In early times , women were made to have contraceptive devices placed in their uteruses after having their first child and men were required to have a",vasectomy,"if they had a second child , according to Du . "" The villagers were even more scared of the arrival of the family planning workers than of the policemen , "" Du recalled.These practices and high fines created a stigma about being a family planning worker that has lasted",NA,NA
56_3645,Xinhua General News Service,2010-03-16T00:00:00Z,Investigation into dad's ' forced ',vasectomy,,NA,NA
56_3646,Xinhua General News Service,2010-03-16T00:00:00Z,Yunnan - A health authority is investigating claims a man was forced to have a,vasectomy,when he returned to his home town for the Lunar New Year holiday .,NA,NA
56_3648,Xinhua General News Service,2010-03-16T00:00:00Z,He said he was taken to a government clinic and forced to undergo a,vasectomy,.,NA,NA
56_3695,Xinhua General News Service,2010-03-16T00:00:00Z,"NEW YEAR ( 78 % ) ; DISMISSALS ( 78 % ) ; REPORTS , REVIEWS & SECTIONS ( 78 % ) ; MARRIAGE ( 76 % ) ; MANAGERS & SUPERVISORS ( 74 % ) ; FACIAL INJURIES ( 73 % ) ; SURVEILLANCE ( 73 % ) ;",REPRODUCTIVE,HEALTH CLINICS ( 72 % ) ; CRIMINAL INVESTIGATIONS ( 68 % ) ; HOLIDAYS & OBSERVANCES ( 66 % ) ; PHOBIAS ( 65 % ) ; EDITORIALS & OPINIONS ( 58 % ),NA,NA
56_3697,Xinhua General News Service,2010-03-16T00:00:00Z,Industry : PRIMARY SCHOOLS ( 79 % ) ;,REPRODUCTIVE,HEALTH CLINICS ( 72 % ),NA,NA
